Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.4888718417438344,-5.958582991412525,1.8366740596383693,-5.745269130271026,2.8736485005656728 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.319781611246094,-8.426390507149087,1.4860436051436637,-8.035094338483532,2.797262854394137 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,2.1336276779509388,-10.902261046229328,1.1343209716462753,-10.341990405089519,2.691938127549509 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9336208857137248,-13.384687635027998,0.7670920333833351,-12.64859476153174,2.56563728733343 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.8843230834073484,-13.185987014970584,0.6724608922959305,-12.506918935042564,2.450092625148977 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.8200840670373968,-13.008586629604562,0.6290810121239474,-12.324257303656282,2.361604414160331 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.7706598954655557,-12.830078056137998,0.5902405352004507,-12.150615895497822,2.296880975139469 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7312924700545145,-12.651631661785224,0.5633092510892084,-11.976020571612935,2.246886972746845 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.6929744350616516,-12.52678213339023,0.5406150609035194,-11.84858577903259,2.203586966996172 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.6578170591022963,-12.40334803800158,0.5183264509573178,-11.714939054868694,2.1627043359460265 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.6235303464934575,-12.281500048606994,0.49780482274672979,-11.581345071088095,2.122836367817553 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5896776308759176,-12.161301112801118,0.4778869737359628,-11.448403596016988,2.083716936500468 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5525965626564443,-12.130939365873815,0.44208146126663908,-11.438226849171997,2.0449343719960577 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.515923321993525,-12.101742970229447,0.40595348804060907,-11.437129935261112,2.0062930075893274 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4793165088277674,-12.074167529045445,0.3719730652627504,-11.433946238516512,1.9677144291257094 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4427421666113494,-12.048083736872187,0.33784430838221626,-11.43053631145051,1.9292011357058068 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,1.4125627440519009,-11.925811327999707,0.3190471293880819,-11.322507914864673,1.891572236497229 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,1.3804743978432877,-11.803670891415063,0.29985931283931679,-11.210829425504813,1.8550649535603537 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,1.3512507525599616,-11.681442804853737,0.28043572652700279,-11.098920687610417,1.8196689211724003 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3215977521266689,-11.559300945084145,0.2624071287159495,-10.986858633662508,1.7851491589952676 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.283965337388842,-11.560047619760676,0.22832992326260638,-10.985148471662058,1.7500676215693685 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2479367184107877,-11.560685238865905,0.19402336305222435,-10.986959499298223,1.7137474027536093 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2112910642423203,-11.561402374151396,0.16020188969923766,-10.989622689420913,1.676433385753409 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1743276596616275,-11.56211479044092,0.1259409899692514,-10.992600261677012,1.6385824827981373 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1395686620150909,-11.537091645820464,0.09286151341041205,-10.989887300049077,1.6009304552564155 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1046543221365038,-11.51336268520245,0.06064195621684121,-10.985806395098905,1.5638424496856043 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0700247740146998,-11.490836470747823,0.02839813588252582,-10.98154948916914,1.5272759350406149 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0356836470548732,-11.469442360464509,-0.0035834679760000656,-10.977335808467558,1.491083713974283 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,1.000294336224883,-11.421294985060328,-0.02942639285407722,-10.936822853038507,1.454595430409239 
 01/01  07:30:00,-10.3,71.56792871975249,1.0,22.819555959623899,1.0,22.819555959623899,71.56792871975249,1.0681717288553574,-9.748502899749994,0.38523424203384595,-10.56936027690972,1.4323688298401914 
 01/01  07:45:00,-10.15,354.0299290602728,1.0,109.75755355442667,1.0,109.75755355442667,354.0299290602728,1.4167751873212329,-3.3878475086508437,2.1828038038590309,-9.23500400618002,1.4629416532254434 
 01/01  08:00:00,-10.0,650.8026061160458,1.0,195.8764694434918,1.0,195.8764694434918,650.8026061160458,1.8437718040137219,3.09943461139005,3.856292231681323,-7.925422808267285,1.5560679596734473 
 01/01  08:15:00,-9.725,953.3043628211269,1.0,278.97248314719988,1.0,278.97248314719988,953.3043628211269,2.1919417606123456,8.284126060819624,5.376684843287023,-6.794820147432745,1.7024129251245078 
