Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.5004421456786837,-5.97664174411256,0.9854044110138034,-5.873783692516099,1.8571446895930007 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.3329072807731124,-8.444545624894144,0.6510082171926115,-8.17734167924516,1.7843827872841159 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.148614153646796,-10.920610574184412,0.31479659772355719,-10.488242885213595,1.6826036865747365 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9506863640581574,-13.403220706819729,-0.03366760960227566,-12.817979853166662,1.5596052024237009 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,0.9047459992641909,-13.204658150163452,-0.1276204186248151,-12.674155146840406,1.4468196128457136 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.8435629322977115,-13.027196237991412,-0.16945485518203896,-12.489841968958786,1.360676033158541 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.7969780780356296,-12.84862265748158,-0.20710359886800235,-12.314643790286596,1.2982054235210324 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7603970630294251,-12.670107075709888,-0.23294255229728834,-12.138570494655028,1.250589608257399 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7248137557662276,-12.545701670315255,-0.25468740663245628,-12.01273452418576,1.2098486241844229 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6924501635760667,-12.422729184235843,-0.27590425666409149,-11.880816353920693,1.1716668437070117 
