Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.765486374235282,-5.917102094325156,3.995877743562744,-5.590851459553278,5.214911121737508 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.593972559185807,-8.384560519297864,3.656357256126057,-7.887167370725706,5.132206720405502 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.4050867077837039,-10.85993973501636,3.3126970453824926,-10.191050774940436,5.021268427530725 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.202367392384621,-13.34189844463554,2.956130829952258,-12.513607001602566,4.890274197398524 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.146889022534127,-13.142844538700154,2.855587981408007,-12.370059401419724,4.770726884104743 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.0770945149158239,-12.96556355780211,2.805672862925917,-12.187054625760823,4.678369051352768 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.0221932540275209,-12.787196269229389,2.760529313243751,-12.01296029482154,4.609397780291801 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.977221905224872,-12.608900807028159,2.727278102079538,-11.837953189507062,4.554584595816659 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.933292666422015,-12.483011435231403,2.6986290690473426,-11.707828994146098,4.505961190354068 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.8923453635590277,-12.358494173148822,2.6702758133098998,-11.571389625932739,4.4594223422202019 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,3.8521562282790535,-12.235508941336155,2.6435768637639969,-11.43491028802191,4.413718196617588 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8123523041603959,-12.114116090760687,2.617419128694621,-11.29898550521142,4.368675435589625 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7692403037803747,-12.085217334980337,2.5756201849951596,-11.291791453289875,4.323904042333504 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7265655138348996,-12.05742359461358,2.534956813322765,-11.291028073888697,4.27918169112875 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6839003241159835,-12.031182621387004,2.494548884092751,-11.290637536921679,4.2344835061752879 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.641273933076784,-12.006367215297136,2.4542150942148739,-11.290291493789028,4.189851927372319 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,3.60397884746982,-11.884245479243166,2.4273560832526757,-11.186114914737744,4.1460513673870509 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,3.566805043213348,-11.762208889996203,2.4012690495864037,-11.074905463342248,4.103461552701222 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,3.530443110209026,-11.640154767191149,2.3756358067316798,-10.963177351188392,4.061957635745042 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.494777387799519,-11.518111478965045,2.3507209681242786,-10.851355128514343,4.021279132658369 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.452213604252033,-11.51895633419,2.312539355777062,-10.84702115583275,3.9801164229631218 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4102548781227948,-11.519738011843979,2.273026559700895,-10.84992308748076,3.937814199535053 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.367815080651265,-11.520560339360687,2.2335439086580779,-10.85328522373743,3.8945690090856139 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.325073706366337,-11.521381920513904,2.1936879236398,-10.856713657124829,3.8508108662851514 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2844236883865816,-11.497536285220458,2.1542290833358495,-10.855374376312739,3.8072611887779046 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2436448122637464,-11.4749235749122,2.1158912221393395,-10.853695680913802,3.7642794775656926 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.20317055873974,-11.4534598844904,2.077686625662807,-10.852069477335477,3.721821814078953 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.1629970780502036,-11.43307760341042,2.0397749902216448,-10.850490569355543,3.679742838328552 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,3.121910091706312,-11.384117361523034,2.007000472258312,-10.81204331364978,3.637421913040265 
 01/01  07:30:00,-10.3,115.03919117926972,1.0,22.819555959623899,1.0,22.819555959623899,115.03919117926972,3.1912248675304326,-9.710874976036003,2.3184637906466607,-10.510029471115331,3.610616443939633 
 01/01  07:45:00,-10.15,564.843581773016,1.0,109.75755355442667,1.0,109.75755355442667,564.843581773016,3.5604607196658715,-3.3440803981219124,3.743972921878708,-9.423479412512279,3.6420248871565508 
 01/01  08:00:00,-10.0,1027.107415698465,1.0,195.8764694434918,1.0,195.8764694434918,1027.107415698465,4.009808768659613,3.132868215485172,5.214823334564244,-8.315024410984734,3.7402202012465546 
 01/01  08:15:00,-9.725,1487.7790350735168,1.0,278.97248314719988,1.0,278.97248314719988,1487.7790350735168,4.413087731231178,8.321879816808194,6.577565525340333,-7.322565840589675,3.8910852124594794 
 01/01  08:30:00,-9.45,1973.3797118442713,1.0,364.91995730569456,1.0,364.91995730569456,1973.3797118442713,4.815000921166563,13.39622505342649,7.9642498970677029,-6.32969628399178,4.084610965615975 
 01/01  08:45:00,-9.175,2294.651274485231,1.0,420.35879993239237,1.0,420.35879993239237,2294.651274485231,5.092371514375798,16.154429321682966,8.921378504497398,-5.709808247638534,4.301003016452929 
 01/01  09:00:00,-8.9,2628.157408555287,1.0,478.00138373643099,1.0,478.00138373643099,2628.157408555287,5.420841051301929,19.148976218001278,9.871069631463115,-5.065885755358522,4.5300394179632958 
 01/01  09:15:00,-8.350000000000002,2968.709586547734,1.0,536.9185644770597,1.0,536.9185644770597,2968.709586547734,5.692232907725345,20.26598127215709,10.856274872301868,-4.277727212006141,4.773261395287348 
 01/01  09:30:00,-7.800000000000001,3321.0268194611828,1.0,598.0969199229219,1.0,598.0969199229219,3321.0268194611828,5.989474225705352,21.51864060159809,11.860660153634968,-3.516198055901441,5.0373172749535 
