Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.7202681217331459,-5.936128742859013,3.101424470022039,-5.7338790387864269,4.141424885927648 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.55053316842626,-8.403752609344885,2.77850126194096,-8.044025154520114,4.062460661465439 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.363757116995897,-10.87933666165777,2.4521033435542565,-10.361724579379427,3.9552368602598775 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.1632981702206566,-13.361488529365639,2.1128412209211548,-12.698004920424808,3.827743174047747 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,3.111360739104956,-13.162579150426364,2.0130156885360295,-12.553603244327633,3.711182910143924 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,3.044800028822967,-12.985231342189426,1.9648086446021012,-12.36901200802356,3.6214261134125809 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.9929377169485487,-12.806793790088366,1.92103546082501,-12.193361491994722,3.554979091923307 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.950963584551817,-12.628423858931818,1.8890665983429927,-12.016877561947979,3.5028149639892565 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.9099865635677086,-12.503003591341806,1.861537889589897,-11.888653257277156,3.457008800911464 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.872049715272131,-12.378974805537773,1.8344208259630364,-11.754252663214743,3.413412452892385 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,2.8349099303357088,-12.256502252911109,1.8090179673630474,-11.619933788470576,3.3707178462628755 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7981686627111088,-12.13564770766081,1.7841834820741838,-11.486255437649561,3.328711971761655 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7581776039882168,-12.106073488767669,1.74557118150517,-11.475409299884689,3.2870223742893169 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.718621689128434,-12.077631732069733,1.7079539718255888,-11.470368298959557,3.2454273236309807 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.679087608699404,-12.050774388638306,1.6705672314295726,-11.46581154779517,3.2038848824694856 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.639595645440937,-12.025373255084944,1.6332459579403463,-11.461463346464825,3.162419804790901 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,2.605441507892945,-11.903176071161802,1.608185350127485,-11.355379049890587,3.121761232407915 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,2.5713974750104389,-11.781070734643429,1.5840148346933348,-11.24271749397883,3.082281149041691 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,2.5381416067068245,-11.658948490358805,1.5602938233291753,-11.129600274245604,3.043864371809348 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.505564878942244,-11.536837272120208,1.5372743454986449,-11.016405234856905,3.006259994724921 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4659718258005389,-11.537633075844465,1.4993476316260513,-11.014780716690439,2.9682139869454686 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4270320746965106,-11.538357552772088,1.4623247922343126,-11.016454297746464,2.9290397361941555 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3876115103091135,-11.539122639837576,1.425401758094722,-11.019027210386696,2.8889044456392276 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3479177974206,-11.539887522138957,1.3907745209097585,-11.020172539762087,2.8481985599103578 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.310300250602798,-11.515500173490534,1.3542402996055217,-11.015291460274284,2.8076764801429099 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2725383095306266,-11.492374092667499,1.31876642878035,-11.010120084642097,2.7677221315142734 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2350363773551975,-11.47042160981794,1.280982021425416,-11.008008186808752,2.7283316486731605 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.1978903740347994,-11.449573659011449,1.2461996135382379,-11.003771532679309,2.6893281602058409 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,2.1597777702485354,-11.400975932897998,1.21751539048023,-10.963138894512725,2.650024245418776 
 01/01  07:30:00,-10.3,92.15750704739708,1.0,22.819555959623899,1.0,22.819555959623899,92.15750704739708,2.228202581862819,-9.727960788287135,1.5887088115191546,-10.625473402957937,2.625585918327772 
