Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.6053426365893265,-5.97471937953111,1.1838140941026155,-5.938397017498744,1.966063985713091 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4384093363551088,-8.442606289410895,0.8767253412165701,-8.262783058516107,1.8939861356479795 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.2549591286602156,-10.91862441876375,0.5677691965339022,-10.594533592262679,1.793298081420286 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0580353919316488,-13.40118730949002,0.24499004716767559,-12.935041350670418,1.671650387328153 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.012630807336507,-13.202588935353584,0.14966059368452989,-12.796275269338139,1.560008939444622 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.951965661417323,-13.025118988189695,0.10598620954402804,-12.610385833668716,1.4746259527131747 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.9057111270302818,-12.846546329824001,0.06616533787791923,-12.433050052701958,1.412593664906203 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8693310377796237,-12.668032576519975,0.03803186136764225,-12.254950333265584,1.365219871271545 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.8338874619383504,-12.54357046192036,0.014134686714498912,-12.129523476484792,1.3246211490591995 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.8016255051191515,-12.420538491399821,-0.009187940228343905,-11.998112530334652,1.286535569188991 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.7712544362524019,-12.299111831618568,-0.030666888600478616,-11.866926451804489,1.2496457514224584 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7393291826429339,-12.179391453088876,-0.051123964284670368,-11.73645494277929,1.213476363658017 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.705386986573663,-12.14841368097393,-0.08414540328101339,-11.720701987476162,1.1776183989945628 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6717298353776932,-12.118673029763285,-0.1159414702868844,-11.710073412348379,1.141903057531502 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6381118825516813,-12.090574676259461,-0.1475783619611093,-11.70008576911681,1.1062973086417097 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6045070561927683,-12.063993770812198,-0.18157799000573505,-11.694148523542822,1.07083135814413 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,0.5772946235410715,-11.941649899567173,-0.19965557799287127,-11.582463357801317,1.0362425482391209 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.54921608120475,-11.819442045138656,-0.21875170023656666,-11.467939022561496,1.002849735164158 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,0.5219783253326327,-11.697182954276704,-0.237718384120285,-11.353224692520144,0.9704754169911992 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.49538225824644169,-11.574938907578396,-0.25598662811307806,-11.23845561169992,0.9388573994248589 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.46067210022976476,-11.575643068626656,-0.2884818498145023,-11.236155938476032,0.9066631302127165 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.42850146831743027,-11.576228471774393,-0.3206034140924885,-11.237237357961476,0.8733866822485928 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3937227560127419,-11.576923641230943,-0.35187619345538226,-11.239119844632797,0.8390945532314252 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.35976837280859627,-11.577541344825266,-0.3844149719362804,-11.241386758413796,0.80418109320581 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.32889079476481739,-11.552064747434953,-0.4147760881214708,-11.234308289263538,0.7695496586264395 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.29688865783768655,-11.52793176244929,-0.4441222522631847,-11.225169492185956,0.7355586330423395 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.265260351264218,-11.50498609125912,-0.4739202656625139,-11.215863237959298,0.7020879880125068 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2339060799584318,-11.483195931573326,-0.5034029277127274,-11.20671716462914,0.6689550633514594 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.20045081241125149,-11.435342005359507,-0.5276338867784034,-11.166659558719744,0.6353640060710438 
 01/01  07:30:00,-10.3,57.69019600974546,1.0,22.819555959623899,1.0,22.819555959623899,57.69019600974546,0.26835358903015085,-9.762671080229103,-0.11945982555090495,-10.817860203207488,0.6148934748636507 
 01/01  07:45:00,-10.15,285.3800070249231,1.0,109.75755355442667,1.0,109.75755355442667,285.3800070249231,0.6079355503508822,-3.4044368451867137,1.626710389082973,-9.552011338148305,0.6436828142997044 
 01/01  08:00:00,-10.0,524.6055123031704,1.0,195.8764694434918,1.0,195.8764694434918,524.6055123031704,1.0246296347786575,3.0871982581197945,3.2393135327671418,-8.279252848832244,0.731592847323437 
 01/01  08:15:00,-9.725,768.4491717444191,1.0,278.97248314719988,1.0,278.97248314719988,768.4491717444191,1.3503047216306766,8.26983916775569,4.721171754791044,-7.171924266105407,0.8709252181174783 
 01/01  08:30:00,-9.45,1030.6249243631592,1.0,364.91995730569456,1.0,364.91995730569456,1030.6249243631592,1.719377565568938,13.349136061433102,6.202674190699213,-6.081857821576989,1.0482753563980785 
 01/01  08:45:00,-9.175,1210.4804273274606,1.0,420.35879993239237,1.0,420.35879993239237,1210.4804273274606,1.9594438039276947,16.10843422102651,7.203061014104037,-5.42164875644653,1.2446360507129347 
 01/01  09:00:00,-8.9,1398.6777532574607,1.0,478.00138373643099,1.0,478.00138373643099,1398.6777532574607,2.2440082326455386,19.103919887116278,8.19970350530133,-4.73124662764701,1.454019563919256 
 01/01  09:15:00,-8.350000000000002,1592.0755180216234,1.0,536.9185644770597,1.0,536.9185644770597,1592.0755180216234,2.4679534446142359,20.224137298714216,9.229605805080269,-3.914280353013055,1.6783092539121348 
 01/01  09:30:00,-7.800000000000001,1792.701648704855,1.0,598.0969199229219,1.0,598.0969199229219,1792.701648704855,2.715794792303261,21.479245630874034,10.28650403227175,-3.1224084799479216,1.914244793648208 
 01/01  09:45:00,-7.25,1928.119448426844,1.0,637.6133352894237,1.0,637.6133352894237,1928.119448426844,2.8960836860048189,21.540771768159396,11.033653216351013,-2.5626139627714794,2.1484075614032789 
 01/01  10:00:00,-6.7,2061.422449283195,1.0,676.6412284283772,1.0,676.6412284283772,2061.422449283195,3.090881002753682,21.702413102212778,11.751170603189735,-2.006297250733553,2.373242082636836 
 01/01  10:15:00,-6.275,2192.1032501103888,1.0,715.0112779846514,1.0,715.0112779846514,2192.1032501103888,3.362254127883309,23.79969213877585,12.466628377742837,-1.2764983461681255,2.592167585741153 
 01/01  10:30:00,-5.85,2319.457313777197,1.0,752.5077794605232,1.0,752.5077794605232,2319.457313777197,3.6183566827108777,25.734284302379604,13.169422331315218,-0.5589246641907266,2.809867867424788 
 01/01  10:45:00,-5.425,2285.6965649767259,1.0,742.5988714321785,1.0,742.5988714321785,2285.6965649767259,3.7555100230150746,25.585823140362554,13.22328756806263,-0.2566224551272853,3.0122401478399265 
 01/01  11:00:00,-5.0,2235.2264038775226,1.0,727.8169025450712,1.0,727.8169025450712,2235.2264038775226,3.888834947759228,25.35609704143098,13.181210190421439,0.014037550775981345,3.18980036312465 
 01/01  11:15:00,-4.575,2148.0872974320998,1.0,700.3759009170325,1.0,700.3759009170325,2148.0872974320998,3.97506569515091,24.613043489903917,12.957431281139748,0.22392605704067138,3.338369239433653 
