Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.592095654467086,-5.938467026451231,2.860895092299529,-5.654458120772858,4.0083004288326429 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.421734438293969,-8.406121335078718,2.5116355606377285,-7.944151252700522,3.928652326024195 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.234127048799106,-10.881757561742111,2.1604778190076674,-10.251009709418725,3.8203739583884488 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0326216046352738,-13.363961153081787,1.7935895193176066,-12.557431504136958,3.6915411968750639 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.9801812254752519,-13.165092115632115,1.696478925866586,-12.415242210167208,3.5738554978879835 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,2.913109566270118,-12.98775151990037,1.650177452093999,-12.232769773252358,3.483366525397572 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.860930750209036,-12.809312220518187,1.608582363653909,-12.059264068424909,3.4165097852427577 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.818769467237713,-12.630939830938014,1.5789119684001208,-11.884804980828563,3.364126451357737 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.77766553808053,-12.505588188046593,1.55367182077606,-11.755925056734839,3.318196027264824 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.7396383258998546,-12.381631374005217,1.5287680737636152,-11.620762447717766,3.2745186093223856 
