Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.6412808656955004,-5.955797186600194,2.1253205096929834,-5.840590602279349,3.0319611471362797 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.4730097242797854,-8.423573028511674,1.810308382873984,-8.157823287943529,2.9564913594886348 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,2.28796221711753,-10.899378367052597,1.4925731430063252,-10.482532330234222,2.852590660756523 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.089338156267958,-13.381739987546708,1.1621177505360266,-12.825817620919566,2.72809343834137 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.040727962897304,-13.182988571425464,1.0640027084355098,-12.680042120130736,2.614068897027952 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.977180930861269,-13.005578058464165,1.018074464626693,-12.494504552592958,2.526576303707876 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.9281904431974504,-12.827071283973592,0.9763434553369734,-12.318005639283684,2.4624165660269199 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8890836794637998,-12.64862767011425,0.9463617776002593,-12.140711097484087,2.412729509538909 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.850945467816722,-12.523696054929479,0.9207006166918745,-12.013966715074503,2.3696083442033335 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.8159190313643612,-12.400175848595487,0.8955362547364416,-11.881146093561768,2.3288462145707595 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.7817384908393244,-12.278237008850182,0.8721497640245843,-11.748483929517306,2.2890683343476319 
