Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4665494290261426,-5.977263102293395,0.9213528023850586,-5.852912789155766,1.8219478691134666 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.2988175117438925,-8.445172284873327,0.5779887138087361,-8.14964173893452,1.7489588801081782 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.1142472531213504,-10.92125251761576,0.23282959130614246,-10.453704801096876,1.6468180232493326 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9159827849638924,-13.403878069119179,-0.12447370522187384,-12.776694559201076,1.5233654747960395 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,0.869867950905369,-13.205327393226869,-0.21755836546526553,-12.63404414699653,1.4101989609915798 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.8085123916743483,-13.02786801998468,-0.25876493575350426,-12.450453165787849,1.3238058863254623 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.7618194954313186,-12.849294055373849,-0.29569386556818247,-12.27596385998362,1.2611935571176747 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7251734452340279,-12.670777846363033,-0.32077424548026559,-12.10055983234804,1.21350026332419 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6895452834042521,-12.5463907706185,-0.34178846212012106,-11.974599333835556,1.172713993902371 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6571489127069597,-12.42343751338316,-0.3623007954490731,-11.842526419747515,1.134501711681144 
