Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.718873290557945,-5.9179514205340679,3.9087426066956825,-5.56191429842454,5.166501960212265 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.547147969174537,-8.385421793325996,3.5605929207227975,-7.851473901210056,5.083569504736281 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.357999223167845,-10.860819320323639,3.2098597497667926,-10.158266540098112,4.972298127998946 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.154920912784795,-13.34279555968177,2.843202139441985,-12.464486021073526,4.8408664508247549 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.099282469339411,-13.143755953300154,2.743618344403558,-12.321235444137585,4.720944987239816 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.029317229940969,-12.966477432490475,2.694329096353272,-12.138909623270934,4.628342291016265 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,3.9743102977376898,-12.788109498997855,2.649911397684491,-11.965523686931306,4.559234565835064 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.929276937510555,-12.609813127982836,2.6174264330340977,-11.791183489394712,4.504349429335303 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.885306529546671,-12.483948619270672,2.589564648359385,-11.660790300744907,4.455686376800691 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.8443305570043306,-12.359457431198925,2.561968713828037,-11.52404957082922,4.409122525715918 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,3.8041191477566116,-12.236499697054838,2.5360263752118046,-11.38723483049489,4.363400941445306 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7642968685169486,-12.11513572426679,2.5106273011908799,-11.250956777299735,4.318346091219864 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.721158502290817,-12.086208396331847,2.4687517889891525,-11.244667652294425,4.273556341193086 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6784566505827707,-12.058387502024804,2.428100661423059,-11.245021173052806,4.228806625812793 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6357606621320355,-12.032120784062702,2.3877154003021134,-11.245723751438959,4.184074918884645 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.593101206453978,-12.007280886111538,2.347406876543687,-11.246426463236162,4.1394069811984519 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,3.55578298109403,-11.885158927673965,2.3211711833645269,-11.142951486842435,4.095576784972414 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,3.5185882911477428,-11.763122191121731,2.295639971175376,-11.03229898464133,4.052966410505645 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,3.482210217201602,-11.641067816140872,2.270559486314937,-10.921104181797432,4.011448890953514 
