Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.8066619488232118,-5.934553087161844,3.2659056874811656,-5.789092599072887,4.231156044284975 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.6373556899741765,-8.402155977198224,2.9608516648777369,-8.113160262243241,4.152656634438428 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.451162883450674,-10.877704777863562,2.65234044333522,-10.444813735569199,4.046163429677424 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.251387934586835,-13.359821078413649,2.329564456701405,-12.785031119135056,3.91956030992198 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,3.199808806459946,-13.160885310969709,2.229152422900711,-12.64769289053379,3.803750751052134 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,3.1335918245142255,-12.983532367320692,2.1797258210233965,-12.462279356498982,3.7144913437115885 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,3.0819714954796768,-12.80509565992557,2.1359912814205019,-12.295131543816524,3.6483494550645 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.040118861892212,-12.626726393235366,2.101044049889765,-12.107450784599337,3.596350677847033 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.9992409019999659,-12.501260100714769,2.0719913955866788,-11.979585228530596,3.550633325238408 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.9613705921760697,-12.377182829713869,2.0434151059534999,-11.845728286164047,3.5070934310368084 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,2.92428397165104,-12.254658985643065,2.01655350813337,-11.712018239029078,3.4644419833167308 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8875890556556049,-12.133750516449418,1.9902592318347275,-11.578976868582913,3.4224711176990767 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8476600841875818,-12.104229067267442,1.95174224457719,-11.566334566502576,3.380828696308379 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.808167371020763,-12.075837506672232,1.9140347119050603,-11.55917352936683,3.3392970187619546 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7687031286013608,-12.049027791328827,1.876543567968838,-11.552545806361764,3.2978287286936709 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.729284852500686,-12.023671984448,1.839116879145422,-11.546205067015422,3.2564426770257586 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,2.695184539640465,-11.901475040410736,1.8127808349929638,-11.43880120622299,3.215850077656593 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,2.6611900923293816,-11.779369787387282,1.7874823260319204,-11.325065090504382,3.1764186440852977 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,2.6279746724868717,-11.657247820754906,1.7626395055042963,-11.210910160597223,3.138037228018472 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5954312709998459,-11.535136947254248,1.7384927793032148,-11.096688480119952,3.100459718568076 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.555929429046218,-11.53593102887974,1.7030041347866246,-11.092072965187868,3.062415306155463 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.517026436561498,-11.536654475122884,1.6658780355917884,-11.094293927322099,3.023250817870375 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4776487237387658,-11.537418498155077,1.6287619648599048,-11.096914522735006,2.9831452562004587 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4379650590394306,-11.538182161967406,1.5912720662525999,-11.099588904280609,2.9425145134131736 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.400413876794324,-11.513838519254448,1.554561740146596,-11.093066539328106,2.9020810456223558 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.362719238995029,-11.49075363201853,1.518962572732903,-11.086177694831975,2.8622093133947597 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3253180596901314,-11.468840561391695,1.4834676344461287,-11.079525330580737,2.8228582694751389 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2882097952814459,-11.448030391544466,1.448241712740355,-11.073111567355682,2.7838825565216336 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,2.2501049332193907,-11.399393251809114,1.416698918780071,-11.036104611180463,2.7446376787266266 
 01/01  07:30:00,-10.3,92.15750704739708,1.0,22.819555959623899,1.0,22.819555959623899,92.15750704739708,2.3184807512529028,-9.72637233439902,1.788604603483634,-10.701216756709187,2.720231244920303 
 01/01  07:45:00,-10.15,454.0668273181285,1.0,109.75755355442667,1.0,109.75755355442667,454.0668273181285,2.6760675502341897,-3.3622437961742306,3.435683408409261,-9.489541154670974,2.751186183911416 
