Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.860959156315232,-5.915362779789015,4.1743032197130109,-5.650070576157077,5.314044673843871 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.689873162014924,-8.382796625498058,3.8522179420438649,-7.960066360519249,5.231797280787816 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.501566976933509,-10.858138577203724,3.526019601739222,-10.277679468759004,5.121578389490102 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.299545245102851,-13.340059796893366,3.1867439663822099,-12.613799694671627,4.9914798906364059 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.244403412150001,-13.140977626036456,3.08435536036518,-12.469141635093593,4.872672919982218 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.174944494695343,-12.963692278686512,3.03315030736519,-12.284738346633333,4.780789922003204 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.120248217950841,-12.785326458950472,2.9865414353694179,-12.109210069381561,4.712080979378398 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.075396495515442,-12.607032871047691,2.9517426310252405,-11.932849725899928,4.6574067179101858 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.031548223196275,-12.481092562589807,2.921539806285182,-11.803276921711245,4.608861264064596 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.9906580341624777,-12.356521876941585,2.891677372912909,-11.667464516152905,4.562372708915928 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,3.9505138730120126,-12.233480325079884,2.863471639819579,-11.531678385241435,4.516704280310782 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.91074729609898,-12.112028335826836,2.835804080118919,-11.396481473929385,4.471686740770999 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8676882790843325,-12.083188094487096,2.7941369957702024,-11.387425191559544,4.42695273207703 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8250676361043349,-12.055449993001892,2.7534226231816776,-11.38440656546004,4.382285163732864 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7824638174729436,-12.02926178378671,2.7129450558962846,-11.381811455450645,4.3376535931629089 
