Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.909808496386317,-5.914472985328503,4.2656226909863339,-5.68037867964847,5.364757933904108 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.738938915186343,-8.381894197055467,3.952345623270503,-7.997300386979589,5.282739584795062 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.550925427022636,-10.857217196825668,3.6349720525339537,-10.321862573321085,5.172881612386979 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.349255696872304,-13.339119356322359,3.304438228598883,-12.664851843864313,5.043232800148299 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.294283295726253,-13.14002278029346,3.201173902579683,-12.519424115257835,4.9247984854212529 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.224993115004417,-12.962735217986216,3.1493016422662665,-12.334306039008823,4.833154992203011 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.170400334173433,-12.78437014208372,3.101957227995399,-12.158053303468023,4.76457863605249 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.125609029383515,-12.606077506622807,3.0663802622784717,-11.98100805753245,4.709974763578296 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.08180195765569,-12.480111144993576,3.0354145098917799,-11.851719367189844,4.661469110524415 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.040940833143912,-12.355513126269792,3.0048013669309627,-11.716232908867937,4.615006570804474 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,4.000819712953151,-12.232442761286118,2.9758459558755705,-11.580805152769188,4.569356905891135 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.9610723895548887,-12.110960516573579,2.947427570768582,-11.445983516220736,4.524352893445338 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.918040199149559,-12.082150205648605,2.9058146087712659,-11.435972672471167,4.479638217695444 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8754468368028927,-12.054440578815886,2.8650618070156499,-11.43181381589227,4.434998302438562 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8328737535833885,-12.028279379012643,2.8245374773986215,-11.428105140601702,4.390400013337796 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.790345835292143,-12.003539864943177,2.784082091376604,-11.424572066334008,4.345876281800465 
