Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.00980523251929,-5.9126518250894419,4.452646632053813,-5.742452650544124,5.468550203148247 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.839373572275644,-8.380047056822728,4.1571733004651609,-8.073404535788996,5.386990876989924 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.651951305602968,-10.855331494314287,3.857643824521574,-10.412038503241775,5.277856986237716 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.450975094074903,-13.337194885928462,3.5436737133303497,-12.759201509883383,5.149092476782071 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.396350736713952,-13.138069582983736,3.4397524625430835,-12.62090245984183,5.0314006673027189 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.327396315376651,-12.960777251982096,3.386597906991028,-12.43494664799914,4.940244397799652 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.27303682868251,-12.78241345356802,3.339267585996936,-12.267125986704003,4.871961155781358 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.228357085982118,-12.604121931458467,3.3006949901787268,-12.078928685780966,4.817512157547601 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.184640663125963,-12.478102644182071,3.268195596346345,-11.950116570148055,4.769086346872705 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.143837498854133,-12.353448900906813,3.2360903160114846,-11.815300800435466,4.722672008048794 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,4.103761158187806,-12.230319637537259,3.2056411504776749,-11.680614558167577,4.677057364405697 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0640517526684729,-12.108775479133389,3.1757273485256976,-11.546567913620834,4.632080111151543 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.021073042590013,-12.080026406648067,3.1341949345889477,-11.534603834592418,4.587404585825545 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.978534382930158,-12.052375072660646,3.093338850033092,-11.52813591964582,4.542820223345868 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.9360227773688,-12.026269183263353,3.0526967024628108,-11.522173897824473,4.498288303549118 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.893560215657698,-12.001582292169458,3.01212203534692,-11.516474107047316,4.453835740966856 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,3.856378714213896,-11.87946188046471,2.9820590903618724,-11.408839818661307,4.410180709922742 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,3.8193074872885948,-11.757426169082035,2.9531256824291178,-11.294854332514945,4.367691975907286 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,3.7830246376561824,-11.635373431182927,2.9246611562758746,-11.180453444456419,4.3262551763471 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.747419799923878,-11.513331695473236,2.896901085819536,-11.0659885733632,4.285622224589995 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.7049684731725249,-11.514172565496061,2.8585004123302726,-11.06147529400016,4.244523928218211 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.663119212456392,-11.514951806719998,2.8183906326395347,-11.063777493225303,4.202314865498263 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.6207984789710268,-11.515771425085227,2.77828915423396,-11.066475013868058,4.159182497238721 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.5781814678464696,-11.516590353601574,2.737821344272561,-11.069223719759976,4.115545879211611 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.537646259399442,-11.492868549761865,2.698029814179563,-11.06328236084903,4.072123008847338 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.496984136416044,-11.470373033363059,2.65935757883085,-11.056991958167885,4.029271013190906 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4566273181427564,-11.449020966357317,2.620805625448895,-11.05091840588517,3.9869438779382087 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4165705054004715,-11.428745043374566,2.5825345747806525,-11.0450638360918,3.9449947266928948 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,3.375592802112913,-11.379673711033965,2.54784823395903,-11.007655223736777,3.902782585134182 
 01/01  07:30:00,-10.3,115.03919117926972,1.0,22.819555959623899,1.0,22.819555959623899,115.03919117926972,3.4446897699885175,-9.706414707483447,2.8596855884513276,-10.71183729747537,3.8759915897979315 
 01/01  07:45:00,-10.15,564.843581773016,1.0,109.75755355442667,1.0,109.75755355442667,564.843581773016,3.8127295027531407,-3.339109553560241,4.297349146931424,-9.647139784110323,3.907012535732169 
 01/01  08:00:00,-10.0,1027.107415698465,1.0,195.8764694434918,1.0,195.8764694434918,1027.107415698465,4.257239031730904,3.135820730955101,5.729932711212712,-8.54930781331393,4.005345103682495 
 01/01  08:15:00,-9.725,1487.7790350735168,1.0,278.97248314719988,1.0,278.97248314719988,1487.7790350735168,4.658898684263654,8.326698569807208,7.075221830681585,-7.564967056049682,4.15847670213952 
 01/01  08:30:00,-9.45,1973.3797118442713,1.0,364.91995730569456,1.0,364.91995730569456,1973.3797118442713,5.069733782369573,13.400083844577085,8.444991050559168,-6.580590577126202,4.352714528423387 
 01/01  08:45:00,-9.175,2294.651274485231,1.0,420.35879993239237,1.0,420.35879993239237,2294.651274485231,5.344170123457472,16.158132954403269,9.40270025450684,-5.965381615395529,4.569305267948447 
 01/01  09:00:00,-8.9,2628.157408555287,1.0,478.00138373643099,1.0,478.00138373643099,2628.157408555287,5.673208205657712,19.15259823439377,10.344785126146235,-5.326672852406546,4.798466236596727 
 01/01  09:15:00,-8.350000000000002,2968.709586547734,1.0,536.9185644770597,1.0,536.9185644770597,2968.709586547734,5.944474127592914,20.269254566761857,11.323690923549009,-4.526413362506219,5.042226582359772 
 01/01  09:30:00,-7.800000000000001,3321.0268194611828,1.0,598.0969199229219,1.0,598.0969199229219,3321.0268194611828,6.2418549605850999,21.521697128487696,12.322128765727598,-3.7556086705585018,5.306625808939999 
 01/01  09:45:00,-7.25,3552.151013375401,1.0,637.6133352894237,1.0,637.6133352894237,3552.151013375401,6.468915204963059,21.58087331134026,13.049601589929012,-3.192543099584725,5.5775204082393119 
 01/01  10:00:00,-6.7,3779.8708706745844,1.0,676.6412284283772,1.0,676.6412284283772,3779.8708706745844,6.716123741286316,21.74061359402556,13.746238802860603,-2.6351487600486509,5.843885842783559 
 01/01  10:15:00,-6.275,4003.447923168032,1.0,715.0112779846514,1.0,715.0112779846514,4003.447923168032,7.038998725720798,23.83832307251949,14.442549681667743,-1.9396703000364824,6.107497602160428 
 01/01  10:30:00,-5.85,4221.762249309513,1.0,752.5077794605232,1.0,752.5077794605232,4221.762249309513,7.349434025171681,25.773211450560795,15.132167792903602,-1.2539991641282882,6.372636597434814 
 01/01  10:45:00,-5.425,4156.879578089225,1.0,742.5988714321785,1.0,742.5988714321785,4156.879578089225,7.528916080635739,25.62489621484925,15.24060423495581,-0.9423616169648312,6.623399755900592 
 01/01  11:00:00,-5.0,4064.169807818047,1.0,727.8169025450712,1.0,727.8169025450712,4064.169807818047,7.703610759338048,25.395705909014759,15.258751840805076,-0.6570343872921285,6.848200651722469 
