Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5307335828697765,-5.994412314730067,0.16962720140463717,-6.01153155764348,0.8594181825621206 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3648910730807009,-8.462357826887378,-0.13896008423694185,-8.336082338320125,0.7905575195437496 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,0.1826860141709482,-10.938606240556311,-0.4483469886486091,-10.66784324501748,0.6927403099829304 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.012910274152175083,-13.421386466934966,-0.7712933716507564,-13.008470441143004,0.5734808138369388 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.05528632147961276,-13.222953796070213,-0.8641030732969739,-12.868528340822309,0.46378060441452048 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.11324594279978431,-13.04542845935032,-0.9049766946689033,-12.682375449594588,0.38016231358614696 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.15689657829598167,-12.866790386729301,-0.9421766445959747,-12.504915240316223,0.32001687627741179 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.19064284677837396,-12.688206322046183,-0.9677171464509797,-12.32669082496193,0.2747950564885067 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.22346634723830664,-12.564234649328771,-0.9891569999360286,-12.202379304906117,0.23661026682736986 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.25205985617203999,-12.44171238946121,-1.0099508286227775,-12.072137999296615,0.2012427329626935 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.2806638714245963,-12.320854838373967,-1.028463953387643,-11.942128881977397,0.16712642164150832 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.3086807428269505,-12.201652851319338,-1.046591500013676,-11.812928498266956,0.13382117451266777 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.33977649394082229,-12.170028536537974,-1.0763883078865889,-11.795624207966285,0.10092167855734724 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.3705219747339529,-12.139621064826587,-1.1073285410370773,-11.787391422887652,0.06822164386366433 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4011814925245678,-12.110892276067143,-1.1356811464048633,-11.776508994430742,0.0356294037778247 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4318060677188216,-12.083711756176326,-1.1643240735765517,-11.765508831177499,0.0031272847625482878 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-0.4570859375645523,-11.961294268632253,-1.1801435026870309,-11.652231253762352,-0.02865685332975006 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.4822325527378363,-11.83898783787924,-1.1967575048189474,-11.537381327251524,-0.059339107017138657 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-0.5066662145540155,-11.71666943444744,-1.212920779198214,-11.422399575417785,-0.08899279075477337 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5304530592840915,-11.594361507327145,-1.2284254879333503,-11.307374266168154,-0.11784467805422214 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5614048100203883,-11.595023569963898,-1.258064201176012,-11.304827817440469,-0.14710524353907804 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5918689307027658,-11.595591177831232,-1.2871590193220755,-11.305674294144524,-0.17747324264439758 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6227688749691335,-11.596193775668887,-1.3161933789222645,-11.307416977331286,-0.20882538117888684 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6540018327711911,-11.596798457989069,-1.345604021827853,-11.30943315985644,-0.2407686361871911 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6829997452142556,-11.570759620341564,-1.3731104246070914,-11.301236299601669,-0.27257471209538777 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.7121399685162775,-11.546066711550692,-1.4000067002473884,-11.290822345485936,-0.30385421936746706 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.7410411932579356,-11.522624853712886,-1.4270187109282234,-11.280181152339197,-0.3346288236535334 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.7696743166372019,-11.500358094561415,-1.4538101113726612,-11.269742587321162,-0.36503811967159008 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.7994414711126435,-11.452886133877069,-1.4757916072366584,-11.230058576843817,-0.39575659893665207 
 01/01  07:30:00,-10.3,43.92919895502562,1.0,22.819555959623899,1.0,22.819555959623899,43.92919895502562,-0.7324719563349877,-9.780404401506692,-1.0773913074564235,-10.894582472570847,-0.414331740005186 
 01/01  07:45:00,-10.15,217.30754917639187,1.0,109.75755355442667,1.0,109.75755355442667,217.30754917639187,-0.40063570214685625,-3.4250626395822647,0.6179240585539674,-9.675857436730212,-0.3873034445950691 
 01/01  08:00:00,-10.0,399.4699535945363,1.0,195.8764694434918,1.0,195.8764694434918,399.4699535945363,0.015674936111914726,3.079046724968511,2.1889559296974996,-8.435946379375764,-0.3052894459769155 
 01/01  08:15:00,-9.725,585.1489314874541,1.0,278.97248314719988,1.0,278.97248314719988,585.1489314874541,0.31006734436841107,8.250678719299695,3.6413530168164245,-7.346862281431186,-0.17408312087299855 
 01/01  08:30:00,-9.45,784.787199245388,1.0,364.91995730569456,1.0,364.91995730569456,784.787199245388,0.6640970315108005,13.333163469649179,5.098323816405241,-6.2696993382105579,-0.006201320389817411 
 01/01  08:45:00,-9.175,921.7412871041541,1.0,420.35879993239237,1.0,420.35879993239237,921.7412871041541,0.8908832008147594,16.09266799499077,6.086096855275059,-5.610637416003726,0.18021961340593505 
 01/01  09:00:00,-8.9,1065.0474005418728,1.0,478.00138373643099,1.0,478.00138373643099,1065.0474005418728,1.159689537324491,19.08845802311109,7.071898367238305,-4.922102425381695,0.38126058334898507 
